oldfun,pkg,fun
src_dbi,dbplyr,NA
all_vars,dplyr,across
any_vars,dplyr,across
arrange_all,dplyr,across
arrange_at,dplyr,across
arrange_if,dplyr,across
distinct_all,dplyr,across
distinct_at,dplyr,across
distinct_if,dplyr,across
do,dplyr,reframe
do,dplyr,nest_by
do,dplyr,pick
filter_all,dplyr,across
filter_at,dplyr,across
filter_if,dplyr,across
group_by_all,dplyr,across
group_by_at,dplyr,across
group_by_if,dplyr,across
mutate_all,dplyr,across
mutate_at,dplyr,across
mutate_if,dplyr,across
recode,dplyr,case_match
recode_factor,dplyr,NA
rename_all,dplyr,across
rename_at,dplyr,across
rename_if,dplyr,across
sample_frac,dplyr,slice_sample
sample_n,dplyr,slice_sample
select_all,dplyr,across
select_at,dplyr,across
select_if,dplyr,across
summarise_all,dplyr,across
summarise_at,dplyr,across
summarise_if,dplyr,across
summarize_all,dplyr,across
summarize_at,dplyr,across
summarize_if,dplyr,across
top_frac,dplyr,slice_max
top_frac,dplyr,slice_min
top_n,dplyr,slice_max
top_n,dplyr,slice_min
transmute,dplyr,mutate
transmute_all,dplyr,across
transmute_at,dplyr,across
transmute_if,dplyr,across
vars,dplyr,across
with_groups,dplyr,NA
coord_map,ggplot2,coord_sf
coord_quickmap,ggplot2,coord_sf
as_vector,purrr,list_simplify
flatten,purrr,list_flatten
flatten_chr,purrr,list_c
flatten_dbl,purrr,list_c
flatten_dfc,purrr,list_cbind
flatten_dfr,purrr,list_rbind
flatten_int,purrr,list_c
flatten_lgl,purrr,list_c
imap_dfc,purrr,NA
imap_dfr,purrr,NA
map_dfc,purrr,NA
map_dfr,purrr,NA
map2_dfc,purrr,NA
map2_dfr,purrr,NA
pmap_dfc,purrr,NA
pmap_dfr,purrr,NA
simplify,purrr,list_simplify
simplify_all,purrr,list_simplify
transpose,purrr,list_transpose
melt_csv,readr,NA
melt_csv2,readr,NA
melt_delim,readr,NA
melt_fwf,readr,NA
melt_table,readr,NA
melt_table2,readr,NA
melt_tsv,readr,NA
env_bury,rlang,set_env
env_bury,rlang,env
str_interp,stringr,str_glue
repair_names,tibble,NA
set_tidy_names,tibble,NA
tidy_names,tibble,NA
extract,tidyr,separate_wider_regex
gather,tidyr,pivot_longer
nest_legacy,tidyr,nest
separate,tidyr,separate_wider_delim
separate,tidyr,separate_wider_position
separate_rows,tidyr,separate_longer_delim
separate_rows,tidyr,separate_longer_position
spread,tidyr,pivot_wider
unnest_legacy,tidyr,unnest
