city,link,adsbygoogle_window_adsbygoogle_push,country,region,province,postcode,population,current_date,current_time,time_zone,gmt_utc,dst_started,dst_will_end,latitude_in_decimal_degrees,longitude_in_decimal_degrees,latitude_in_degrees_minutes_and_seconds,longitude_in_degrees_minutes_and_seconds,height_above_sea_level,geographical_feature,feature_designation_code
Abingdon,/city/general/United+Kingdom_Oxfordshire_Abingdon_id_2657780,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX14,37192,Sunday 17 September 2023,"10
								:
								31
								:
								30",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",51.67109,-1.28278,"51° 40' 16"" North","1° 17' 58"" West","57 m,  
							187.01 ft,  
							2244.1 in",P (Populated place type feature),P.PPL (populated place)
Adderbury,/city/general/United+Kingdom_Oxfordshire_Adderbury_id_2657684,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX17,2552,Sunday 17 September 2023,"10
								:
								31
								:
								31",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",52.0169,-1.31192,"52° 1' 1"" North","1° 19' 43"" West","104 m,  
							341.21 ft,  
							4094.49 in",P (Populated place type feature),P.PPL (populated place)
Bampton,/city/general/United+Kingdom_Oxfordshire_Bampton_id_2656421,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,CA10,2561,Sunday 17 September 2023,"10
								:
								31
								:
								32",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",51.72634,-1.54547,"51° 44' 35"" North","1° 33' 44"" West","73 m,  
							239.5 ft,  
							2874.02 in",P (Populated place type feature),P.PPL (populated place)
Banbury,/city/general/United+Kingdom_Oxfordshire_Banbury_id_2656406,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX16,46075,Sunday 17 September 2023,"10
								:
								31
								:
								34",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",52.0602,-1.34029,"52° 4' 37"" North","1° 20' 25"" West","107 m,  
							351.05 ft,  
							4212.6 in",P (Populated place type feature),P.PPL (populated place)
Benson,/city/general/United+Kingdom_Oxfordshire_Benson_id_2655886,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX10,5691,Sunday 17 September 2023,"10
								:
								31
								:
								35",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",51.62073,-1.10979,"51° 37' 15"" North","1° 7' 35"" West","52 m,  
							170.6 ft,  
							2047.25 in",P (Populated place type feature),P.PPL (populated place)
Bicester,/city/general/United+Kingdom_Oxfordshire_Bicester_id_2655729,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX6,35902,Sunday 17 September 2023,"10
								:
								31
								:
								36",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",51.89998,-1.15357,"51° 54' 60"" North","1° 9' 13"" West","75 m,  
							246.06 ft,  
							2952.76 in",P (Populated place type feature),P.PPL (populated place)
Bloxham,/city/general/United+Kingdom_Oxfordshire_Bloxham_id_2655331,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX15,3202,Sunday 17 September 2023,"10
								:
								31
								:
								38",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",52.01812,-1.37527,"52° 1' 5"" North","1° 23' 31"" West","123 m,  
							403.54 ft,  
							4842.52 in",P (Populated place type feature),P.PPL (populated place)
Carterton,/city/general/United+Kingdom_Oxfordshire_Carterton_id_2653634,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX18,13247,Sunday 17 September 2023,"10
								:
								31
								:
								39",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",51.75905,-1.59435,"51° 46' 33"" North","1° 36' 40"" West","93 m,  
							305.12 ft,  
							3661.42 in",P (Populated place type feature),P.PPL (populated place)
Chalgrove,/city/general/United+Kingdom_Oxfordshire_Chalgrove_id_2653391,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX44,2974,Sunday 17 September 2023,"10
								:
								31
								:
								40",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",51.66476,-1.0764,"51° 40' 53"" North","1° 5' 35"" West","68 m,  
							223.1 ft,  
							2677.17 in",P (Populated place type feature),P.PPL (populated place)
Charlbury,/city/general/United+Kingdom_Oxfordshire_Charlbury_id_2653339,(adsbygoogle = window.adsbygoogle || []).push({});,United Kingdom,England,Oxfordshire,OX7,3050,Sunday 17 September 2023,"10
								:
								31
								:
								42",Europe/London,"0 
						hours","Sunday, 26 March 2023, 01:00","Sunday, 29 October 2023, 01:00",51.8727,-1.48247,"51° 52' 22"" North","1° 29' 57"" West","111 m,  
							364.17 ft,  
							4370.08 in",P (Populated place type feature),P.PPL (populated place)
